City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,300.34,50,0,7.2,US,1697228717
1,castillos,-34.1667,-53.8333,286.7,51,1,2.84,UY,1697228717
2,atafu village,-8.5421,-172.5159,301.91,78,100,10.1,TK,1697228718
3,waitangi,-43.9535,-176.5597,287.49,85,6,3.58,NZ,1697228110
4,puerto ayora,-0.7393,-90.3518,305.13,77,69,4.73,EC,1697228718
5,barra de santo antonio,-9.4047,-35.5072,299.75,79,9,5.92,BR,1697228718
6,praia da vitoria,38.7333,-27.0667,291.35,94,75,4.29,PT,1697228719
7,margaret river,-33.95,115.0667,284.5,92,16,5.16,AU,1697228719
8,nagqu,31.5,92.0,270.51,25,58,1.03,CN,1697228719
9,qaqortoq,60.7167,-46.0333,277.33,58,58,2.85,GL,1697228719
10,longyearbyen,78.2186,15.6401,272.06,69,40,6.17,SJ,1697228719
11,bredasdorp,-34.5322,20.0403,286.26,95,8,2.95,ZA,1697228720
12,kiunga,-6.1219,141.2906,296.04,99,93,0.95,PG,1697228720
13,ilulissat,69.2167,-51.1,273.16,93,100,7.72,GL,1697228720
14,whitehorse,60.7161,-135.0538,283.16,77,75,3.6,CA,1697228721
15,avarua,-21.2078,-159.775,298.18,78,100,3.09,CK,1697228707
16,talnakh,69.4865,88.3972,273.82,96,96,2.73,RU,1697228135
17,margate,51.3813,1.3862,288.65,90,100,4.47,GB,1697228721
18,ola,59.5833,151.2833,271.16,57,64,2.81,RU,1697228721
19,bethel,41.3712,-73.414,290.72,53,0,4.12,US,1697228722
20,qui nhon,13.7667,109.2333,298.2,91,100,0.73,VN,1697228722
21,ushuaia,-54.8,-68.3,281.96,67,20,15.2,AR,1697228722
22,khandyga,62.6667,135.6,263.74,98,100,0.71,RU,1697228722
23,la passe,45.5549,-0.8967,293.28,79,100,8.36,FR,1697228723
24,jamestown,42.097,-79.2353,286.49,57,0,1.54,US,1697228633
25,mandalgovi,45.7625,106.2708,279.51,37,0,3.45,MN,1697228724
26,sechura,-5.5569,-80.8222,299.34,59,28,6.77,PE,1697228724
27,adamstown,-25.066,-130.1015,293.99,77,100,6.03,PN,1697228724
28,grytviken,-54.2811,-36.5092,274.6,93,100,6.98,GS,1697228725
29,east london,-33.0153,27.9116,290.15,82,97,6.29,ZA,1697228725
30,kulhudhuffushi,6.6221,73.07,299.51,84,100,4.19,MV,1697228725
31,nemuro,43.3236,145.575,287.42,69,0,3.06,JP,1697228725
32,ugoofaaru,5.6667,73.0,299.67,81,100,3.89,MV,1697228726
33,port-aux-francais,-49.35,70.2167,275.88,82,88,10.24,TF,1697228726
34,orbeasca de sus,44.15,25.3167,290.78,47,8,2.08,RO,1697228726
35,el galpon,-25.3807,-64.6526,299.11,20,34,3.81,AR,1697228726
36,ribeira grande,38.5167,-28.7,291.37,94,75,5.81,PT,1697228726
37,young,-32.6833,-57.6333,290.98,34,1,4.82,UY,1697228727
38,hermanus,-34.4187,19.2345,287.15,84,22,4.08,ZA,1697228727
39,turpan,42.9333,89.1667,294.33,24,7,1.45,CN,1697228727
40,gwadar,25.1216,62.3254,300.0,87,0,2.44,PK,1697228727
41,nova vicosa,-17.8919,-39.3719,299.15,77,98,7.09,BR,1697228728
42,kloulklubed,7.0419,134.2556,300.43,79,100,4.6,PW,1697228728
43,puerto natales,-51.7236,-72.4875,280.93,72,53,5.13,CL,1697228728
