City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,59.02,80,0,20.71,AR,1697407203
1,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,10.36,EC,1697407088
2,albany,42.6001,-73.9662,53.06,77,100,3.0,US,1697407047
3,uvinza,-5.1036,30.3911,71.46,82,94,6.22,TZ,1697407284
4,bethel,41.3712,-73.414,56.75,70,97,8.08,US,1697407284
5,nantucket,41.2835,-70.0995,55.02,75,76,12.1,US,1697407284
6,bubaque,11.2833,-15.8333,82.8,83,97,15.05,GW,1697407284
7,sooke,48.3746,-123.7276,63.57,74,100,20.71,CA,1697407285
8,ulladulla,-35.35,150.4667,63.77,50,91,10.0,AU,1697407285
9,adamstown,-25.066,-130.1015,71.58,80,55,8.46,PN,1697407285
10,chimbote,-9.0853,-78.5783,68.56,80,91,10.87,PE,1697407285
11,pasuquin,18.3328,120.6177,76.95,94,75,2.3,PH,1697407286
12,venice,27.0998,-82.4543,78.98,67,75,17.27,US,1697407262
13,waitangi,-43.9535,-176.5597,54.82,77,26,11.99,NZ,1697407286
14,wailua homesteads,22.0669,-159.378,83.75,69,94,5.01,US,1697407286
15,jamestown,42.097,-79.2353,46.02,97,100,9.22,US,1697407286
16,edinburgh of the seven seas,-37.0676,-12.3116,53.76,83,84,29.75,SH,1697407287
17,weno,7.4515,151.8468,82.67,76,85,3.27,FM,1697407287
18,kirakira,-10.4544,161.9205,83.97,75,100,4.7,SB,1697407287
19,bredasdorp,-34.5322,20.0403,58.95,97,31,3.51,ZA,1697407287
20,ancud,-41.8697,-73.8203,50.18,77,47,14.97,CL,1697407228
21,blackmans bay,-43.0167,147.3167,49.73,69,56,3.0,AU,1697407288
22,cerro largo,-28.1486,-54.7381,74.64,85,1,3.02,BR,1697407288
23,punta arenas,-53.15,-70.9167,48.31,61,40,28.77,CL,1697407255
24,saint-pierre,-21.3393,55.4781,73.08,78,0,5.75,RE,1697407288
25,grytviken,-54.2811,-36.5092,33.66,90,76,11.88,GS,1697407289
26,tongliao,43.6125,122.2653,37.78,33,0,7.05,CN,1697407289
27,lihue,21.9789,-159.3672,84.36,69,96,8.63,US,1697407289
28,port-aux-francais,-49.35,70.2167,34.05,67,100,29.3,TF,1697407289
29,port alfred,-33.5906,26.891,62.19,96,100,5.01,ZA,1697407290
30,dakhla,23.6848,-15.958,77.02,61,100,11.5,EH,1697407290
31,berango,43.3579,-2.9726,62.71,79,0,5.75,ES,1697407290
32,antonio enes,-16.2325,39.9086,78.13,86,41,10.04,MZ,1697407290
33,khanbari,27.3747,87.2039,61.75,89,58,3.11,NP,1697407291
34,nagaur,27.2,73.7333,80.74,44,96,15.99,IN,1697407291
35,coahuayana de hidalgo,18.7,-103.6583,84.56,80,94,3.06,MX,1697407291
36,nouadhibou,20.931,-17.0347,89.58,19,14,14.97,MR,1697407291
37,nabire,-3.3667,135.4833,77.77,86,27,2.75,ID,1697407292
38,manta,-0.95,-80.7333,78.58,78,100,11.5,EC,1697407184
39,devonport,-41.1667,146.35,51.1,74,18,1.99,AU,1697407292
40,sogamoso,5.7143,-72.9339,57.97,90,100,4.76,CO,1697407292
41,ixmiquilpan,20.4833,-99.2333,62.6,86,100,4.85,MX,1697407292
42,kosh-agach,50.0,88.6667,29.3,77,94,4.0,RU,1697407293
43,ebaye,8.7748,167.7392,84.22,79,40,12.66,MH,1697407293
44,valle de la pascua,9.2155,-66.0073,83.61,64,83,1.59,VE,1697407293
45,bilibino,68.0546,166.4372,6.96,97,100,1.59,RU,1697407293
46,dudinka,69.4058,86.1778,19.67,91,31,8.01,RU,1697407294
47,pitimbu,-7.4706,-34.8086,79.39,74,99,13.0,BR,1697407294
48,kodiak,57.79,-152.4072,47.71,93,100,14.97,US,1697407294
49,avarua,-21.2078,-159.775,73.45,68,75,10.36,CK,1697407294
50,mafeteng,-29.823,27.2374,57.2,72,85,3.09,LS,1697407294
51,rouissat,31.9243,5.3502,73.47,23,0,6.91,DZ,1697407295
52,bumba,2.1833,22.4667,70.7,98,100,0.78,CD,1697407295
53,hermanus,-34.4187,19.2345,60.19,90,19,9.53,ZA,1697407295
54,port elizabeth,-33.918,25.5701,62.89,96,75,17.27,ZA,1697407295
55,isafjordur,66.0755,-23.124,39.2,99,100,12.59,IS,1697407296
56,iqaluit,63.7506,-68.5145,31.73,69,75,13.8,CA,1697407296
57,birendranagar,28.6019,81.6339,63.63,76,95,5.26,NP,1697407296
58,invercargill,-46.4,168.35,46.02,81,100,11.01,NZ,1697407152
59,ta`u,-14.2336,-169.5144,79.5,78,59,19.24,AS,1697407296
60,salinopolis,-0.6136,-47.3561,80.91,81,28,15.55,BR,1697407297
61,kavaratti,10.5669,72.642,81.63,72,78,6.11,IN,1697407297
62,ushuaia,-54.8,-68.3,44.26,65,40,24.16,AR,1697407297
63,opp,31.2827,-86.2555,62.53,71,100,12.66,US,1697407297
64,corner brook,48.9667,-57.9484,51.96,90,69,1.88,CA,1697407210
65,west island,-12.1568,96.8225,76.98,78,40,13.8,CC,1697407298
66,broken hill,-31.95,141.4333,57.0,67,28,20.15,AU,1697407298
67,margaret river,-33.95,115.0667,61.77,58,100,11.72,AU,1697407298
68,happy valley-goose bay,53.3168,-60.3315,46.71,87,100,12.66,CA,1697407010
69,olyokminsk,60.3736,120.4264,27.99,84,100,1.01,RU,1697407111
70,nuuk,64.1835,-51.7216,30.81,74,20,15.01,GL,1697407299
71,akureyri,65.6835,-18.0878,40.93,81,100,0.0,IS,1697407299
72,pineville,31.3224,-92.4343,66.87,56,100,11.63,US,1697407299
73,college,64.8569,-147.8028,41.2,90,75,4.61,US,1697407300
74,mayya,61.7333,130.2811,13.32,77,5,1.97,RU,1697407300
75,vacaria,-28.5122,-50.9339,55.45,97,54,9.22,BR,1697407300
76,puerto natales,-51.7236,-72.4875,42.37,86,50,8.77,CL,1697407145
77,enewetak,11.3474,162.3373,83.28,76,94,10.89,MH,1697407301
78,beau vallon,-20.4189,57.6953,70.21,88,20,4.61,MU,1697407301
79,chulakkurgan,43.765,69.1814,43.93,52,5,2.95,KZ,1697407301
80,whitehorse,60.7161,-135.0538,48.97,64,40,15.01,CA,1697407301
81,nelson bay,-32.7167,152.15,72.0,57,2,10.0,AU,1697407302
82,kargopol',61.5071,38.9456,46.06,80,87,11.01,RU,1697407302
83,ilulissat,69.2167,-51.1,19.42,93,100,26.46,GL,1697407302
84,puerto ayora,-0.7393,-90.3518,84.16,89,92,5.99,EC,1697407302
85,dailekh,28.8333,81.6667,60.42,74,96,6.31,NP,1697407303
86,touros,-5.1989,-35.4608,77.65,79,99,19.57,BR,1697407303
87,luanco,43.6152,-5.7934,63.01,93,99,11.07,ES,1697407303
88,howrah,22.5892,88.3103,78.8,89,20,0.0,IN,1697407184
89,lebu,-37.6167,-73.65,51.22,68,3,19.75,CL,1697407303
90,flin flon,54.7682,-101.865,55.24,58,20,4.61,CA,1697407304
91,thinadhoo,0.5333,72.9333,81.88,75,58,16.82,MV,1697407304
92,yaren,-0.5472,166.916,83.93,71,72,2.53,NR,1697407304
93,tidjikja,18.5564,-11.4271,83.91,12,1,8.7,MR,1697407305
94,acarau,-2.8856,-40.12,80.06,75,96,18.86,BR,1697407041
95,longyearbyen,78.2186,15.6401,30.04,74,75,13.8,SJ,1697407305
96,bamboo flat,11.7,92.7167,77.09,100,20,0.0,IN,1697407305
97,metlili chaamba,32.2667,3.6333,74.34,17,0,5.75,DZ,1697407156
98,vangviang,18.9333,102.45,72.81,94,96,1.61,LA,1697407306
